,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.189 / 1.375 / 99 / 99,1.447 / 1.662 / 99 / 99,1.529 / 1.718 / 99 / 99,1.216 / 1.375 / 99 / 99
1,1-1,1.324 / 1.574 / 99 / 99,1.660 / 1.823 / 99 / 99,1.210 / 1.456 / 99 / 99,1.442 / 1.672 / 99 / 99
2,1-2,1.674 / 1.888 / 99 / 99,1.613 / 1.888 / 99 / 99,1.750 / 1.957 / 99 / 99,1.705 / 1.888 / 99 / 99
3,2-0,0.969 / 1.014 / 57 / 57,0.997 / 1.200 / 30 / 30,0.866 / 1.144 / 59 / 59,0.953 / 1.200 / 41 / 41
4,2-1,1.313 / 1.313 / 60 / 60,1.621 / 1.621 / 28 / 28,1.034 / 1.034 / 53 / 53,1.034 / 1.034 / 35 / 35
5,2-2,2.125 / 2.204 / 49 / 49,2.102 / 2.204 / 36 / 36,2.078 / 2.204 / 61 / 61,2.082 / 2.204 / 57 / 57
6,2-3,0.943 / 1.306 / 64 / 64,1.290 / 1.556 / 78 / 78,1.017 / 1.113 / 35 / 35,1.102 / 1.306 / 62 / 62
7,2-4,0.976 / 1.537 / 45 / 45,1.019 / 1.243 / 51 / 51,1.013 / 1.243 / 45 / 45,0.964 / 1.537 / 60 / 60
8,2-5,1.216 / 1.382 / 62 / 62,1.467 / 1.626 / 72 / 72,0.898 / 0.898 / 50 / 50,0.898 / 0.898 / 57 / 57
9,2-6,0.884 / 1.045 / 47 / 47,0.831 / 1.147 / 49 / 49,0.841 / 1.075 / 49 / 49,0.874 / 1.045 / 38 / 38
10,2-7,1.081 / 1.247 / 65 / 65,1.017 / 1.247 / 39 / 39,1.043 / 1.395 / 21 / 21,0.995 / 1.395 / 61 / 61
11,2-8,1.041 / 1.267 / 52 / 52,1.003 / 1.267 / 66 / 66,0.917 / 1.267 / 39 / 39,0.942 / 1.267 / 28 / 28
