,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.248 / 1.351 / 99 / 99,1.699 / 1.792 / 99 / 99,2.133 / 2.133 / 99 / 99,1.110 / 1.351 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,1.130 / 1.379 / 99 / 99,1.331 / 1.668 / 99 / 99,1.719 / 1.759 / 99 / 99,1.245 / 1.379 / 99 / 99
3,1-3,1.133 / 1.280 / 99 / 99,1.141 / 1.280 / 99 / 99,2.160 / 2.368 / 99 / 99,1.147 / 1.280 / 99 / 99
4,1-4,1.084 / 1.244 / 99 / 99,0.917 / 0.987 / 99 / 99,0.846 / 0.846 / 99 / 99,1.175 / 1.244 / 99 / 99
5,1-5,1.043 / 1.102 / 99 / 99,1.444 / 1.510 / 99 / 99,1.671 / 1.671 / 99 / 99,1.065 / 1.167 / 99 / 99
6,1-6,1.143 / 1.487 / 99 / 99,1.216 / 1.368 / 99 / 99,1.223 / 1.368 / 99 / 99,1.335 / 1.487 / 99 / 99
7,2-0,1.213 / 1.515 / 39 / 39,1.254 / 1.515 / 45 / 45,1.276 / 1.515 / 41 / 41,1.292 / 1.515 / 41 / 41
8,2-1,1.487 / 1.586 / 28 / 28,1.515 / 1.586 / 57 / 57,1.540 / 1.586 / 60 / 60,1.534 / 1.586 / 68 / 68
9,2-2,0.959 / 0.959 / 33 / 33,0.959 / 0.959 / 48 / 48,0.959 / 0.959 / 56 / 56,0.959 / 0.959 / 63 / 63
10,2-3,1.415 / 1.595 / 47 / 47,1.414 / 1.727 / 50 / 50,1.435 / 1.727 / 26 / 26,1.404 / 1.727 / 52 / 52
11,2-4,1.534 / 1.534 / 53 / 53,1.389 / 1.389 / 37 / 37,1.552 / 1.552 / 54 / 54,1.534 / 1.534 / 71 / 71
12,2-5,0.893 / 0.893 / 34 / 34,0.893 / 0.893 / 84 / 84,0.893 / 0.893 / 33 / 33,0.893 / 0.893 / 49 / 49
13,2-6,1.248 / 1.526 / 50 / 50,1.466 / 2.736 / 39 / 39,1.364 / 2.405 / 70 / 70,1.397 / 2.405 / 45 / 45
