run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230911-15:41:25-6047,runattr,,,configname,General,,
General-0-20230911-15:41:25-6047,runattr,,,datetime,20230911-15:41:25,,
General-0-20230911-15:41:25-6047,runattr,,,datetimef,20230911-154125,,
General-0-20230911-15:41:25-6047,runattr,,,experiment,General,,
General-0-20230911-15:41:25-6047,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230911-15:41:25-6047,runattr,,,iterationvars,,,
General-0-20230911-15:41:25-6047,runattr,,,iterationvarsd,,,
General-0-20230911-15:41:25-6047,runattr,,,iterationvarsf,,,
General-0-20230911-15:41:25-6047,runattr,,,measurement,,,
General-0-20230911-15:41:25-6047,runattr,,,network,TSN_multipath,,
General-0-20230911-15:41:25-6047,runattr,,,processid,6047,,
General-0-20230911-15:41:25-6047,runattr,,,repetition,0,,
General-0-20230911-15:41:25-6047,runattr,,,replication,#0,,
General-0-20230911-15:41:25-6047,runattr,,,resultdir,results,,
General-0-20230911-15:41:25-6047,runattr,,,runnumber,0,,
General-0-20230911-15:41:25-6047,runattr,,,seedset,0,,
General-0-20230911-15:41:25-6047,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230911-15:41:25-6047,config,,,network,TSN_multipath,,
General-0-20230911-15:41:25-6047,config,,,sim-time-limit,10ms,,
General-0-20230911-15:41:25-6047,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230911-15:41:25-6047,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230911-15:41:25-6047,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230911-15:41:25-6047,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230911-15:41:25-6047,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230911-15:41:25-6047,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[1].bitrate,180Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[2].bitrate,150Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[3].bitrate,190Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[4].bitrate,130Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[5].bitrate,140Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[6].bitrate,120Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[7].bitrate,220Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch0.eth[8].bitrate,210Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[1].bitrate,150Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[2].bitrate,180Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[3].bitrate,190Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[4].bitrate,190Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[5].bitrate,200Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[6].bitrate,150Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[7].bitrate,210Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[8].bitrate,150Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[9].bitrate,220Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[10].bitrate,140Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[11].bitrate,230Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[12].bitrate,130Mbps,,
General-0-20230911-15:41:25-6047,config,,,*.switch1.eth[13].bitrate,150Mbps,,
