,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.247 / 1.317 /  9,1.381 / 1.667 /  9,1.416 / 2.210 /  9,1.282 / 1.317 /  9,1.176 / 1.317 /  9
1,1-1,0.828 / 1.224 /  9,0.873 / 1.626 /  9,0.884 / 1.723 /  9,0.861 / 1.513 /  9,0.899 / 1.858 /  9
2,1-2,0.848 / 1.131 /  9,0.958 / 1.565 /  9,0.917 / 2.116 /  9,0.807 / 1.131 /  9,0.963 / 1.207 /  9
3,1-3,1.045 / 1.406 /  9,1.978 / 2.237 /  9,2.347 / 2.347 /  9,1.045 / 1.406 /  9,1.045 / 1.406 /  9
4,1-4,1.196 / 1.220 /  9,1.245 / 1.446 /  9,1.440 / 1.440 /  9,1.321 / 1.321 /  9,2.028 / 2.417 /  9
5,1-5,1.608 / 2.032 /  9,1.400 / 1.632 /  9,2.103 / 2.538 /  9,1.772 / 2.032 /  9,1.904 / 1.945 /  9
6,2-0,1.470 / 1.745 / 10,1.255 / 1.475 /  7,1.950 / 2.556 / 12,1.656 / 1.745 /  8,1.856 / 1.856 /  6
7,2-1,1.572 / 1.765 /  6,1.620 / 1.765 /  8,1.763 / 1.763 /  6,1.546 / 1.668 / 11,2.228 / 2.228 /  1
8,2-2,3.286 / 3.286 /  5,3.286 / 3.286 /  9,2.094 / 2.225 /  5,2.893 / 3.568 /  8,3.019 / 3.019 /  2
9,2-3,1.108 / 1.108 /  7,1.108 / 1.108 /  7,1.299 / 1.299 /  5,1.108 / 1.108 /  6,1.550 / 2.656 /  5
10,2-4,1.322 / 1.322 /  9,1.339 / 1.454 /  8,1.530 / 1.877 /  9,1.322 / 1.322 /  9,1.415 / 1.415 /  6
11,2-5,1.820 / 2.128 /  7,1.063 / 1.794 /  7,0.941 / 0.941 / 10,1.805 / 2.128 /  8,1.835 / 1.952 /  6
12,2-6,1.342 / 1.415 /  7,1.390 / 1.419 /  7,1.151 / 1.151 /  8,1.415 / 1.415 /  9,2.033 / 2.396 /  6
13,2-7,2.141 / 2.141 /  3,1.160 / 1.160 / 10,1.498 / 1.498 /  5,2.141 / 2.141 /  7,1.738 / 1.811 /  6
14,2-8,0.909 / 0.909 /  8,0.909 / 0.909 /  3,0.909 / 0.909 /  7,0.909 / 0.909 /  7,0.909 / 0.909 / 10
15,2-9,1.949 / 1.949 /  6,1.949 / 1.949 /  8,1.199 / 1.199 /  8,1.949 / 1.949 /  6,1.688 / 1.688 /  8
16,2-10,1.437 / 1.437 /  7,1.437 / 1.437 /  6,1.483 / 1.710 /  6,1.437 / 1.437 /  6,1.179 / 1.179 /  4
17,2-11,2.169 / 2.169 /  7,2.169 / 2.169 / 10,2.146 / 2.169 /  5,2.169 / 2.169 /  6,1.949 / 2.436 /  9
