run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231214-18:32:43-254101,runattr,,,configname,General,,
General-0-20231214-18:32:43-254101,runattr,,,datetime,20231214-18:32:43,,
General-0-20231214-18:32:43-254101,runattr,,,datetimef,20231214-183243,,
General-0-20231214-18:32:43-254101,runattr,,,experiment,General,,
General-0-20231214-18:32:43-254101,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231214-18:32:43-254101,runattr,,,iterationvars,,,
General-0-20231214-18:32:43-254101,runattr,,,iterationvarsd,,,
General-0-20231214-18:32:43-254101,runattr,,,iterationvarsf,,,
General-0-20231214-18:32:43-254101,runattr,,,measurement,,,
General-0-20231214-18:32:43-254101,runattr,,,network,TSN_multipath,,
General-0-20231214-18:32:43-254101,runattr,,,processid,254101,,
General-0-20231214-18:32:43-254101,runattr,,,repetition,0,,
General-0-20231214-18:32:43-254101,runattr,,,replication,#0,,
General-0-20231214-18:32:43-254101,runattr,,,resultdir,results,,
General-0-20231214-18:32:43-254101,runattr,,,runnumber,0,,
General-0-20231214-18:32:43-254101,runattr,,,seedset,0,,
General-0-20231214-18:32:43-254101,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231214-18:32:43-254101,config,,,network,TSN_multipath,,
General-0-20231214-18:32:43-254101,config,,,sim-time-limit,10ms,,
General-0-20231214-18:32:43-254101,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231214-18:32:43-254101,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231214-18:32:43-254101,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231214-18:32:43-254101,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231214-18:32:43-254101,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231214-18:32:43-254101,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch0.eth[1].bitrate,1600Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch0.eth[2].bitrate,2200Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch0.eth[3].bitrate,1500Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[1].bitrate,2100Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[2].bitrate,1600Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[3].bitrate,2100Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[4].bitrate,1300Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch1.eth[5].bitrate,1500Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[1].bitrate,1600Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[2].bitrate,2100Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[3].bitrate,2200Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[4].bitrate,1300Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch2.eth[5].bitrate,2300Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch3.eth[1].bitrate,1600Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch3.eth[2].bitrate,1500Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch3.eth[3].bitrate,1500Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.host4.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch4.eth[0].bitrate,1000Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch4.eth[1].bitrate,2100Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.switch4.eth[2].bitrate,2300Mbps,,
General-0-20231214-18:32:43-254101,config,,,*.host1.numApps,1,,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].typename,UdpSourceApp,,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].io.destAddress,"""host3""",,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].source.packetLength,22B,,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].source.productionInterval,1ms,,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].display-name,type2_3,,
General-0-20231214-18:32:43-254101,config,,,*.host1.app[0].io.destPort,1000,,
General-0-20231214-18:32:43-254101,config,,,*.host3.numApps,1,,
General-0-20231214-18:32:43-254101,config,,,*.host3.app[0].typename,UdpSinkApp,,
General-0-20231214-18:32:43-254101,config,,,*.host3.app[0].io.localPort,1000,,
General-0-20231214-18:32:43-254101,config,,,*.streamRedundancyConfigurator.configuration,"[
	{
		name: ""shortest_path"",
		packetFilter: ""*-type2_3-*"",
		source: ""host1"",
		destination: ""host3"",
		trees: [[[""host1"", ""switch1"", ""switch3"", ""host3""]]]
	}]",,
General-0-20231214-18:32:43-254101,vector,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,,,"0.000001956 0.001001956 0.002001956 0.003001956 0.004001956 0.005001956 0.006001956 0.007001956 0.008001956","1.956e-06 1.956e-06 1.956e-06 1.956e-06 1.956e-06 1.956e-06 1.956e-06 1.956e-06 1.956e-06"
General-0-20231214-18:32:43-254101,attr,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,interpolationmode,none,,
General-0-20231214-18:32:43-254101,attr,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,recordingmode,vector,,
General-0-20231214-18:32:43-254101,attr,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,source,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),,
General-0-20231214-18:32:43-254101,attr,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,title,mean bit life time per packet,,
General-0-20231214-18:32:43-254101,attr,TSN_multipath.host3.app[0].sink,meanBitLifeTimePerPacket:vector,unit,s,,
