,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.399 / 1.406 /  9,1.451 / 1.710 /  9,2.135 / 2.164 /  9
1,1-1,1.000 / 1.000 /  9,1.073 / 1.384 /  9,1.116 / 1.309 /  9,0.980 / 0.980 /  9,1.712 / 1.962 /  9
2,1-2,1.320 / 1.320 /  9,1.286 / 1.495 /  9,1.556 / 1.866 /  9,1.541 / 1.541 /  9,1.354 / 1.601 /  9
3,1-3,1.000 / 1.000 /  9,1.258 / 1.258 /  9,1.465 / 1.472 /  9,1.371 / 1.371 /  9,1.934 / 1.934 /  9
4,1-4,1.298 / 1.298 /  9,0.890 / 0.890 /  9,0.890 / 0.890 /  9,1.000 / 1.000 /  9,1.098 / 1.098 /  9
5,2-0,0.952 / 0.952 /  8,0.952 / 0.952 /  8,0.952 / 0.952 /  4,1.066 / 1.351 /  7,0.952 / 0.952 /  3
6,2-1,1.024 / 1.324 /  9,1.083 / 1.324 /  7,1.066 / 1.625 /  8,0.935 / 1.236 /  9,0.946 / 1.236 /  7
7,2-2,1.083 / 1.083 /  7,1.083 / 1.083 / 10,1.448 / 1.486 / 11,1.382 / 1.382 /  7,2.099 / 2.099 /  7
8,2-3,0.898 / 0.898 /  9,0.898 / 0.898 /  9,0.898 / 0.898 /  8,0.898 / 0.898 /  8,0.898 / 0.898 / 11
9,2-4,0.887 / 0.887 /  6,0.984 / 1.664 /  8,0.887 / 0.887 /  8,0.887 / 0.887 / 11,0.887 / 0.887 /  7
