,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.007 / 1.060 /  9,1.224 / 1.470 /  9,1.180 / 1.182 /  9,1.007 / 1.060 /  9,1.858 / 1.858 /  9
1,1-1,1.076 / 1.351 /  9,1.378 / 1.683 /  9,1.857 / 2.045 /  9,1.117 / 1.351 /  9,1.000 / 1.000 /  9
2,2-0,0.620 / 0.620 /  9,0.672 / 0.982 /  7,0.620 / 0.620 /  8,0.620 / 0.620 /  4,0.620 / 0.620 / 10
3,2-1,0.910 / 0.910 /  5,0.935 / 0.935 /  9,1.253 / 1.317 / 10,0.910 / 0.910 /  7,0.910 / 0.910 /  5
4,2-2,0.894 / 0.894 / 10,0.894 / 0.894 /  5,0.894 / 0.894 /  6,0.894 / 0.894 /  9,0.935 / 1.259 /  9
5,2-3,1.550 / 1.550 /  6,1.550 / 1.550 /  8,1.550 / 1.550 /  6,1.555 / 1.595 /  8,1.566 / 1.635 /  8
6,2-4,1.487 / 1.487 /  6,1.487 / 1.487 /  5,1.487 / 1.487 /  9,1.487 / 1.487 /  6,1.487 / 1.487 /  9
7,2-5,1.340 / 1.340 /  7,1.393 / 1.716 /  7,1.661 / 1.661 /  9,1.340 / 1.340 /  7,1.410 / 1.763 /  6
8,2-6,1.306 / 1.306 /  5,1.306 / 1.306 /  8,1.306 / 1.306 /  7,1.306 / 1.306 /  4,1.306 / 1.306 /  8
9,2-7,1.219 / 1.573 / 14,1.315 / 1.795 / 10,1.131 / 1.131 /  9,1.187 / 1.524 /  7,1.131 / 1.131 /  6
