,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.267 / 1.508 / 99 / 99,1.439 / 1.762 / 99 / 99,1.121 / 1.350 / 99 / 99,1.345 / 1.569 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.503 / 1.550 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
3,1-3,1.259 / 1.619 / 99 / 99,1.445 / 1.759 / 99 / 99,1.434 / 1.632 / 99 / 99,1.283 / 1.624 / 99 / 99
4,1-4,1.574 / 1.950 / 99 / 99,1.550 / 1.959 / 99 / 99,1.729 / 1.991 / 99 / 99,1.414 / 1.762 / 99 / 99
5,2-0,0.946 / 1.308 / 70 / 70,0.998 / 1.365 / 62 / 62,0.939 / 1.121 / 32 / 32,0.949 / 1.481 / 57 / 57
6,2-1,0.971 / 1.332 / 52 / 52,1.010 / 1.332 / 54 / 54,1.076 / 1.332 / 62 / 62,0.975 / 1.332 / 52 / 52
7,2-2,1.030 / 1.746 / 52 / 52,0.951 / 1.328 / 37 / 37,0.971 / 1.328 / 51 / 51,1.025 / 1.746 / 60 / 60
8,2-3,0.763 / 1.023 / 51 / 51,0.730 / 0.943 / 50 / 50,0.698 / 0.943 / 39 / 39,0.756 / 1.023 / 58 / 58
9,2-4,2.394 / 2.633 / 58 / 58,2.637 / 3.222 / 55 / 55,0.891 / 0.891 / 46 / 46,2.361 / 2.749 / 35 / 35
10,2-5,0.770 / 1.734 / 42 / 42,0.704 / 0.939 / 61 / 61,0.632 / 0.928 / 59 / 59,0.642 / 0.837 / 53 / 53
11,2-6,1.532 / 1.821 / 44 / 44,1.447 / 1.755 / 29 / 29,1.538 / 1.981 / 41 / 41,1.510 / 2.053 / 43 / 43
12,2-7,2.113 / 2.943 / 41 / 41,2.122 / 2.943 / 45 / 45,1.027 / 1.256 / 52 / 52,2.297 / 3.215 / 44 / 44
13,2-8,1.101 / 1.246 / 71 / 72,1.097 / 1.157 / 54 / 54,1.284 / 1.359 / 66 / 66,1.045 / 1.157 / 37 / 37
14,2-9,1.236 / 1.578 / 49 / 49,1.327 / 1.636 / 29 / 29,1.372 / 1.829 / 32 / 32,1.211 / 1.572 / 42 / 42
