,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.424 / 1.424 / 99 / 99,1.630 / 1.700 / 99 / 99,548.479 / 8202.934 / 99 / 99,1.424 / 1.424 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.961 / 2.083 / 99 / 99,1.933 / 2.115 / 99 / 99,1.172 / 1.172 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.356 / 1.450 / 99 / 99,3.055 / 5.361 / 99 / 99,1.000 / 1.000 / 99 / 99
3,1-3,1.727 / 1.889 / 99 / 99,1.818 / 2.209 / 99 / 99,2.483 / 5.060 / 99 / 99,1.643 / 1.889 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.005 / 1.183 / 99 / 99,1.000 / 1.000 / 99 / 99
5,1-5,1.000 / 1.000 / 99 / 99,1.294 / 1.294 / 99 / 99,1.457 / 3.782 / 99 / 99,1.000 / 1.000 / 99 / 99
6,1-6,1.000 / 1.000 / 99 / 99,1.181 / 1.181 / 99 / 99,1.663 / 1.829 / 99 / 99,1.000 / 1.000 / 99 / 99
7,2-0,0.894 / 0.894 / 62 / 62,0.902 / 1.511 / 74 / 74,95.902 / 2143.396 / 68 / 68,0.894 / 0.894 / 43 / 43
8,2-1,1.343 / 1.542 / 33 / 33,1.387 / 2.071 / 47 / 47,1.426 / 1.776 / 42 / 42,1.526 / 2.071 / 64 / 64
9,2-2,1.518 / 1.552 / 48 / 48,1.537 / 1.552 / 37 / 37,838.369 / 3828.146 / 17 / 17,1.530 / 1.552 / 32 / 32
10,2-3,2.181 / 2.725 / 74 / 74,1.141 / 1.538 / 32 / 32,1.088 / 1.953 / 51 / 51,2.021 / 2.450 / 53 / 53
11,2-4,1.178 / 1.178 / 54 / 54,1.178 / 1.178 / 50 / 50,302.181 / 3837.040 / 53 / 53,1.178 / 1.178 / 64 / 64
12,2-5,1.846 / 2.222 / 75 / 75,1.965 / 2.202 / 29 / 29,2.245 / 3.990 / 58 / 58,1.879 / 2.208 / 61 / 61
13,2-6,2.829 / 3.497 / 42 / 42,1.440 / 2.026 / 51 / 51,3.064 / 5.560 / 61 / 61,2.854 / 3.497 / 61 / 61
