,stream,shortest_path,min_max_percentage,least_conflict_value
0,1-0,1.321 / 1.429 / 99 / 99,1.273 / 1.429 / 99 / 99,1.250 / 1.486 / 99 / 99
1,1-1,1.161 / 1.334 / 99 / 99,1.578 / 1.829 / 99 / 99,1.306 / 1.342 / 99 / 99
2,1-2,1.155 / 1.433 / 99 / 99,1.291 / 1.805 / 99 / 99,1.545 / 1.875 / 99 / 99
3,1-3,1.144 / 1.423 / 99 / 99,28.024 / 328.473 / 99 / 99,1.090 / 1.423 / 99 / 99
4,1-4,1.206 / 1.409 / 99 / 99,1.569 / 1.721 / 99 / 99,1.219 / 1.707 / 99 / 99
5,1-5,1.534 / 2.065 / 99 / 99,1.614 / 2.249 / 99 / 99,1.490 / 2.065 / 99 / 99
6,1-6,1.404 / 1.529 / 99 / 99,1.669 / 1.734 / 99 / 99,1.397 / 1.562 / 99 / 99
7,1-7,1.527 / 1.828 / 99 / 99,1.454 / 1.622 / 99 / 99,1.533 / 1.677 / 99 / 99
8,1-8,1.785 / 2.192 / 99 / 99,1.723 / 2.101 / 99 / 99,1.747 / 2.192 / 99 / 99
9,1-9,1.143 / 1.525 / 99 / 99,1.314 / 1.621 / 99 / 99,1.259 / 1.525 / 99 / 99
10,1-10,1.801 / 2.283 / 99 / 99,1.738 / 3.346 / 99 / 99,1.797 / 2.892 / 99 / 99
11,1-11,1.029 / 1.193 / 99 / 99,1.492 / 1.859 / 99 / 99,1.064 / 1.064 / 99 / 99
12,1-12,2.054 / 2.564 / 99 / 99,1.375 / 3.807 / 99 / 99,2.270 / 2.682 / 99 / 99
13,2-0,1.654 / 2.344 / 43 / 43,1.900 / 2.071 / 57 / 57,1.797 / 2.279 / 57 / 57
14,2-1,1.333 / 1.663 / 49 / 49,1.303 / 1.547 / 60 / 60,1.306 / 1.663 / 42 / 42
15,2-2,1.210 / 6.910 / 33 / 33,0.918 / 0.918 / 18 / 18,1.925 / 4.485 / 65 / 65
16,2-3,1.488 / 2.147 / 58 / 58,1.446 / 1.777 / 25 / 25,1.457 / 2.491 / 47 / 47
17,2-4,2.064 / 2.716 / 58 / 58,1.693 / 2.219 / 69 / 69,1.991 / 2.712 / 33 / 33
18,2-5,2.272 / 3.747 / 31 / 31,2.106 / 2.425 / 51 / 51,2.388 / 2.425 / 26 / 26
19,2-6,2.529 / 3.419 / 44 / 44,2.889 / 3.543 / 48 / 48,2.532 / 3.302 / 58 / 58
20,2-7,3.300 / 4.256 / 57 / 57,1.756 / 2.719 / 54 / 54,3.114 / 4.065 / 57 / 57
21,2-8,0.952 / 1.310 / 36 / 36,0.933 / 1.388 / 25 / 25,0.917 / 1.282 / 41 / 41
22,2-9,0.891 / 0.891 / 51 / 51,1.528 / 1.870 / 47 / 47,1.158 / 1.223 / 53 / 53
23,2-10,2.251 / 2.599 / 74 / 74,33.832 / 805.514 / 62 / 62,2.303 / 2.678 / 55 / 55
24,2-11,1.245 / 1.990 / 39 / 39,1.624 / 2.070 / 53 / 53,1.722 / 2.504 / 30 / 30
25,2-12,0.980 / 1.651 / 53 / 53,1.068 / 1.453 / 60 / 60,1.216 / 1.727 / 49 / 49
26,2-13,1.662 / 2.228 / 43 / 43,1.704 / 1.981 / 46 / 46,1.713 / 2.188 / 30 / 30
27,2-14,0.764 / 0.764 / 58 / 58,0.842 / 1.614 / 41 / 41,0.764 / 0.764 / 56 / 56
28,2-15,3.715 / 4.292 / 51 / 51,2.834 / 3.576 / 44 / 44,2.573 / 3.096 / 44 / 44
29,2-16,3.291 / 3.291 / 35 / 35,3.331 / 3.502 / 57 / 57,3.313 / 3.424 / 18 / 18
30,2-17,1.188 / 1.653 / 46 / 46,1.380 / 1.880 / 59 / 59,1.127 / 1.356 / 31 / 31
31,2-18,2.430 / 3.013 / 55 / 55,13.431 / 613.216 / 56 / 56,2.307 / 3.182 / 41 / 41
32,2-19,0.985 / 1.177 / 47 / 47,0.927 / 1.176 / 77 / 77,1.043 / 1.186 / 63 / 63
33,2-20,1.499 / 2.183 / 61 / 61,1.492 / 1.829 / 56 / 56,1.550 / 2.183 / 60 / 60
34,2-21,1.022 / 1.395 / 46 / 46,0.849 / 1.357 / 34 / 34,0.846 / 1.357 / 41 / 41
35,2-22,1.756 / 2.337 / 39 / 39,2.485 / 3.075 / 61 / 61,1.784 / 2.879 / 66 / 66
36,2-23,0.929 / 0.929 / 89 / 89,0.929 / 0.929 / 62 / 62,0.929 / 0.929 / 49 / 49
37,2-24,1.167 / 3.308 / 48 / 48,1.289 / 2.101 / 39 / 39,1.239 / 1.985 / 37 / 37
38,2-25,0.891 / 0.891 / 42 / 42,0.891 / 0.891 / 24 / 24,0.891 / 0.891 / 31 / 31
