run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230529-16:00:38-10170,runattr,,,configname,General,,
General-0-20230529-16:00:38-10170,runattr,,,datetime,20230529-16:00:38,,
General-0-20230529-16:00:38-10170,runattr,,,datetimef,20230529-160038,,
General-0-20230529-16:00:38-10170,runattr,,,experiment,General,,
General-0-20230529-16:00:38-10170,runattr,,,inifile,omnetpp.ini,,
General-0-20230529-16:00:38-10170,runattr,,,iterationvars,,,
General-0-20230529-16:00:38-10170,runattr,,,iterationvarsd,,,
General-0-20230529-16:00:38-10170,runattr,,,iterationvarsf,,,
General-0-20230529-16:00:38-10170,runattr,,,measurement,,,
General-0-20230529-16:00:38-10170,runattr,,,network,Demo,,
General-0-20230529-16:00:38-10170,runattr,,,processid,10170,,
General-0-20230529-16:00:38-10170,runattr,,,repetition,0,,
General-0-20230529-16:00:38-10170,runattr,,,replication,#0,,
General-0-20230529-16:00:38-10170,runattr,,,resultdir,results,,
General-0-20230529-16:00:38-10170,runattr,,,runnumber,0,,
General-0-20230529-16:00:38-10170,runattr,,,seedset,0,,
General-0-20230529-16:00:38-10170,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230529-16:00:38-10170,config,,,network,Demo,,
General-0-20230529-16:00:38-10170,config,,,sim-time-limit,2ms,,
General-0-20230529-16:00:38-10170,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230529-16:00:38-10170,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230529-16:00:38-10170,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230529-16:00:38-10170,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230529-16:00:38-10170,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230529-16:00:38-10170,config,,,*.visualizer.streamRedundancyConfigurationVisualizer.displayTrees,true,,
General-0-20230529-16:00:38-10170,config,,,*.visualizer.streamRedundancyConfigurationVisualizer.lineColor,"""black""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[1].bitrate,40Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[2].bitrate,90Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[3].bitrate,20Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[4].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch0.eth[5].bitrate,20Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch1.eth[1].bitrate,40Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch1.eth[2].bitrate,90Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch1.eth[3].bitrate,95Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch1.eth[4].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.host2.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch2.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch2.eth[1].bitrate,20Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch2.eth[2].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch2.eth[3].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch2.eth[4].bitrate,50Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.host3.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch3.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch3.eth[1].bitrate,95Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch3.eth[2].bitrate,20Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch3.eth[3].bitrate,50Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch3.eth[4].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.host4.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch4.eth[0].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch4.eth[1].bitrate,100Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch4.eth[2].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.switch4.eth[3].bitrate,30Mbps,,
General-0-20230529-16:00:38-10170,config,,,*.host0.numApps,7,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].typename,UdpSourceApp,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].io.destAddress,"""host4""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].source.packetLength,1250B,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].source.productionInterval,100us,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].display-name,type1_0,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[0].io.destPort,1000,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].typename,UdpBasicApp,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].destAddresses,"""host4""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].messageLength,250B,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].sendInterval,100us,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].startTime,0us,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].stopTime,100us,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].display-name,type2_0,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[1].destPort,1001,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[2].typename,UdpBasicApp,,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[2].destAddresses,"""host4""",,
General-0-20230529-16:00:38-10170,config,,,*.host0.app[2].source.packetNameFormat,"""%M-%m-%c""",,
