run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231106-16:41:36-27734,runattr,,,configname,General,,
General-0-20231106-16:41:36-27734,runattr,,,datetime,20231106-16:41:36,,
General-0-20231106-16:41:36-27734,runattr,,,datetimef,20231106-164136,,
General-0-20231106-16:41:36-27734,runattr,,,experiment,General,,
General-0-20231106-16:41:36-27734,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231106-16:41:36-27734,runattr,,,iterationvars,,,
General-0-20231106-16:41:36-27734,runattr,,,iterationvarsd,,,
General-0-20231106-16:41:36-27734,runattr,,,iterationvarsf,,,
General-0-20231106-16:41:36-27734,runattr,,,measurement,,,
General-0-20231106-16:41:36-27734,runattr,,,network,TSN_multipath,,
General-0-20231106-16:41:36-27734,runattr,,,processid,27734,,
General-0-20231106-16:41:36-27734,runattr,,,repetition,0,,
General-0-20231106-16:41:36-27734,runattr,,,replication,#0,,
General-0-20231106-16:41:36-27734,runattr,,,resultdir,results,,
General-0-20231106-16:41:36-27734,runattr,,,runnumber,0,,
General-0-20231106-16:41:36-27734,runattr,,,seedset,0,,
General-0-20231106-16:41:36-27734,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231106-16:41:36-27734,config,,,network,TSN_multipath,,
General-0-20231106-16:41:36-27734,config,,,sim-time-limit,10ms,,
General-0-20231106-16:41:36-27734,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231106-16:41:36-27734,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231106-16:41:36-27734,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231106-16:41:36-27734,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231106-16:41:36-27734,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231106-16:41:36-27734,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch0.eth[1].bitrate,150Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch0.eth[2].bitrate,220Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch0.eth[3].bitrate,130Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch0.eth[4].bitrate,190Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch1.eth[1].bitrate,160Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch1.eth[2].bitrate,180Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch1.eth[3].bitrate,190Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.host2.eth[0].bitrate,100Mbps,,
General-0-20231106-16:41:36-27734,config,,,*.switch2.eth[0].bitrate,100Mbps,,
